# wazuh_rulegen - malicious IP / CIDR threat-intel feed
# Format:  <ip-or-cidr>   <free-text note>   ('#' starts a comment)
# Internal RFC1918 ranges are protected by the config allowlist and never rule'd.
#
# Curated examples + environment offenders are kept at the top; public-feed IOCs
# pulled 2026-08-02 follow. Refresh periodically (the daemon re-reads on each flush).

# --- curated / environment ---
185.220.101.0/24    Tor exit nodes (frequent attack source)
185.177.72.5        High-volume web scanner observed against this manager
45.148.10.238       Opportunistic exploitation attempts
103.175.232.214     Automated vulnerability scanning

# === Public feeds (pulled 2026-08-02): Feodo Tracker, ThreatFox, Emerging Threats ===
1.117.77.166      Unknown (ThreatFox)
2.26.126.7        Stealc (ThreatFox)
15.235.204.51     Havoc (ThreatFox)
27.133.154.218    QakBot C2 (Feodo Tracker)
31.57.147.182     PureRAT (ThreatFox)
34.204.119.63     QakBot C2 (Feodo Tracker)
38.128.251.209    Quasar RAT (ThreatFox)
38.247.147.37     PureRAT (ThreatFox)
43.131.251.190    Unknown (ThreatFox)
43.161.234.96     Unknown (ThreatFox)
43.166.246.26     Cobalt Strike (ThreatFox)
45.61.114.217     AsyncRAT (ThreatFox)
47.239.94.101     VShell (ThreatFox)
50.16.16.211      QakBot C2 (Feodo Tracker)
84.247.129.0      Remus (ThreatFox)
89.19.223.68      Aisuru (ThreatFox)
91.124.98.42      PureRAT (ThreatFox)
94.154.43.249     XMRIG (ThreatFox)
95.155.151.113    Mirai (ThreatFox)
100.23.213.128    compromised host (Emerging Threats)
101.37.210.236    Unknown (ThreatFox)
101.47.15.119     compromised host (Emerging Threats)
101.50.83.146     compromised host (Emerging Threats)
101.96.192.45     compromised host (Emerging Threats)
102.210.82.20     compromised host (Emerging Threats)
102.220.160.26    compromised host (Emerging Threats)
102.220.160.29    compromised host (Emerging Threats)
102.220.160.38    compromised host (Emerging Threats)
102.220.160.39    compromised host (Emerging Threats)
102.220.160.41    compromised host (Emerging Threats)
102.220.160.67    compromised host (Emerging Threats)
103.5.210.47      compromised host (Emerging Threats)
103.19.196.230    compromised host (Emerging Threats)
103.36.32.186     compromised host (Emerging Threats)
103.85.85.175     compromised host (Emerging Threats)
103.160.5.123     compromised host (Emerging Threats)
103.167.88.166    compromised host (Emerging Threats)
103.172.12.3      compromised host (Emerging Threats)
103.182.235.156   compromised host (Emerging Threats)
103.194.106.230   compromised host (Emerging Threats)
103.214.146.46    Aisuru (ThreatFox)
103.216.127.123   compromised host (Emerging Threats)
103.252.127.146   compromised host (Emerging Threats)
104.155.30.31     compromised host (Emerging Threats)
104.155.47.16     compromised host (Emerging Threats)
104.155.84.73     compromised host (Emerging Threats)
104.155.101.5     compromised host (Emerging Threats)
104.155.104.83    compromised host (Emerging Threats)
104.155.107.253   compromised host (Emerging Threats)
104.168.123.242   Remus (ThreatFox)
104.199.12.168    compromised host (Emerging Threats)
104.199.14.152    compromised host (Emerging Threats)
104.199.24.235    compromised host (Emerging Threats)
104.199.54.179    compromised host (Emerging Threats)
104.199.101.188   compromised host (Emerging Threats)
107.189.10.124    compromised host (Emerging Threats)
109.172.55.136    compromised host (Emerging Threats)
111.53.8.101      compromised host (Emerging Threats)
111.170.148.141   Cobalt Strike (ThreatFox)
112.167.99.220    compromised host (Emerging Threats)
112.203.69.89     compromised host (Emerging Threats)
113.0.152.164     compromised host (Emerging Threats)
113.45.224.122    VShell (ThreatFox)
116.110.1.127     compromised host (Emerging Threats)
116.110.10.92     compromised host (Emerging Threats)
116.110.15.225    compromised host (Emerging Threats)
116.110.17.197    compromised host (Emerging Threats)
116.110.21.50     compromised host (Emerging Threats)
116.110.23.104    compromised host (Emerging Threats)
116.110.145.128   compromised host (Emerging Threats)
116.110.146.239   compromised host (Emerging Threats)
116.110.149.111   compromised host (Emerging Threats)
116.110.153.197   compromised host (Emerging Threats)
116.110.156.170   compromised host (Emerging Threats)
116.110.159.126   compromised host (Emerging Threats)
116.110.208.56    compromised host (Emerging Threats)
116.110.208.247   compromised host (Emerging Threats)
116.110.209.240   compromised host (Emerging Threats)
116.110.209.255   compromised host (Emerging Threats)
116.110.211.241   compromised host (Emerging Threats)
116.110.213.20    compromised host (Emerging Threats)
116.110.214.67    compromised host (Emerging Threats)
116.212.123.164   Cobalt Strike (ThreatFox)
124.222.145.172   Cobalt Strike (ThreatFox)
137.184.199.120   Aisuru (ThreatFox)
143.198.206.191   Aisuru (ThreatFox)
156.224.18.21     Cobalt Strike (ThreatFox)
162.35.187.214    Evilginx (ThreatFox)
162.243.103.246   Emotet C2 (Feodo Tracker)
167.172.71.69     Aisuru (ThreatFox)
178.16.55.237     Unknown (ThreatFox)
178.62.3.223      QakBot C2 (Feodo Tracker)
185.157.46.242    AsyncRAT (ThreatFox)
194.59.30.183     PureRAT (ThreatFox)
198.46.187.30     Unknown (ThreatFox)
206.189.81.41     Aisuru (ThreatFox)
207.154.240.223   Aisuru (ThreatFox)
